Unique No,Scheme Code,RTA Scheme Code,AMC Scheme Code,ISIN,AMC Code,Scheme Type,Scheme Plan,Scheme Name,Purchase Allowed,Purchase Transaction mode,Minimum Purchase Amount,Additional Purchase Amount,Maximum Purchase Amount,Purchase Amount Multiplier,Purchase Cutoff Time,Redemption Allowed,Redemption Transaction Mode,Minimum Redemption Qty,Redemption Qty Multiplier,Maximum Redemption Qty,Redemption Amount - Minimum,Redemption Amount â Maximum,Redemption Amount Multiple,Redemption Cut off Time,RTA Agent Code,AMC Active Flag,Dividend Reinvestment Flag,SIP FLAG,STP FLAG,SWP Flag,Switch FLAG,SETTLEMENT TYPE,AMC_IND,Face Value,Start Date,End Date,Exit Load Flag,Exit Load,Lock-in Period Flag,Lock-in Period,Channel Partner Code,ReOpening Date,Unnamed: 43
71,02-DP,02,02,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT,Y,DP,500.0,500.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,N,Y,N,Y,Y,T2,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02,,
28707,02-DP-I,02,2,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT-INSURED,N,DP,500.0,500.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,N,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02,,
3180,02-DP-L1,02,02,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02,,
28708,02-DP-L1-I,02,2,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT-INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,N,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02,,
72,02G,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH,Y,DP,500.0,500.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,Z,Y,N,Y,Y,T2,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02G,,
28709,02G-I,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH-INSURED,N,DP,500.0,500.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,Z,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02G,,
3181,02G-L1,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,Z,Y,N,N,N,L1,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02G,,
28710,02G-L1-I,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH-INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,Z,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02G,,
2495,1047D,1047D,1047D,INF209K01PW9,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES EX DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Mar 19 2012,Mar 27 2012,,0.0,,,B1047D,,
7155,1180A-DP,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT,Y,DP,1000.0,1000.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,Y,N,Y,Y,T2,,10.0,Nov  5 2013,Dec 31 2049,N,0.0,N,0.0,B1180A,,
28924,1180A-DP-I,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT- INSURED,N,DP,1000.0,1000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180A,,
7492,1180A-DP-L1,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,Dec 24 2013,Dec 31 2099,N,0.0,N,0.0,B1180A,,
28925,1180A-DP-L1-I,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT- INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,N,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180A,,
6902,1180B-GR,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,Y,DP,1000.0,1000.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,Y,N,Y,Y,T2,,10.0,Nov 29 2013,Dec 31 2049,N,0.0,N,0.0,B1180B,,
28926,1180B-GR-I,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH- INSURED,N,DP,1000.0,1000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180B,,
7491,1180B-GR-L1,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,Z,Y,N,N,N,L1,,10.0,Dec 24 2013,Dec 31 2099,,0.0,,,B1180B,,
28927,1180B-GR-L1-I,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH- INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,Z,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180B,,
8070,1197B-GR,1197B,1197B,INF209KA1458,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND SERIES 18 - REGULAR GROWTH (1093 DAYS),N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 21 2014,Jan 29 2014,,0.0,,,B1197B,,
8067,1203A-DP,1203A,1203A,INF209KA1649,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN CORPORATE BOND SERIES B (1168 DAYS) - REGULAR PLAN - DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 21 2014,Jan 29 2014,,0.0,,,B1203A,,
8066,1203B-GR,1203B,1203B,INF209KA1631,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN CORPORATE BOND SERIES B (1168 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 21 2014,Jan 29 2014,,0.0,,,B1203B,,
8072,1204A-DP,1204A,1204A,INF209KA1821,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JW (367 DAYS) - REGULAR PLAN - NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 24 2014,Jan 27 2014,,0.0,,,B1204A,,
8071,1204B-GR,1204B,1204B,INF209KA1813,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JW (367 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 24 2014,Jan 27 2014,,0.0,,,B1204B,,
